"h3","pkx","ps","g1"
25,0.5,-3.68239146742331,-0.104024952474205
25,0.5,-3.64558335274908,-0.0400583041055676
25,0.5,-3.60877523807485,0.0252039795933891
25,0.5,-3.57196712340061,0.0916106151984527
25,0.5,-3.53515900872638,0.159027783565137
25,0.5,-3.49835089405215,0.227338013648722
25,0.5,-3.46154277937791,0.296438214804043
25,0.5,-3.42473466470368,0.366238653146856
25,0.5,-3.38792655002945,0.436660985687158
25,0.5,-3.35111843535521,0.507636876253658
25,0.5,-3.31431032068098,0.579106802254083
25,0.5,-3.27750220600675,0.651018470410841
25,0.5,-3.24069409133251,0.723326401862954
25,0.5,-3.20388597665828,0.795990636661599
25,0.5,-3.16707786198405,0.868976068172861
25,0.5,-3.13026974730982,0.942251785446782
25,0.5,-3.09346163263558,1.01579050565247
25,0.5,-3.05665351796135,1.08956806366229
25,0.5,-3.01984540328712,1.16356310140353
25,0.5,-2.98303728861288,1.2377565309125
25,0.5,-2.94622917393865,1.31213153267343
25,0.5,-2.90942105926442,1.38667269496116
25,0.5,-2.87261294459018,1.46136656998275
25,0.5,-2.83580482991595,1.51904391148512
25,0.5,-2.79899671524172,1.53388502416964
25,0.5,-2.76218860056748,1.5490803383463
25,0.5,-2.72538048589325,1.56462988307501
25,0.5,-2.68857237121902,1.58053379087246
25,0.5,-2.65176425654478,1.59679221838148
25,0.5,-2.61495614187055,1.61340596525177
25,0.5,-2.57814802719632,1.63037568326983
25,0.5,-2.54133991252209,1.64770244589276
25,0.5,-2.50453179784785,1.66538727767959
25,0.5,-2.46772368317362,1.68343161130469
25,0.5,-2.43091556849939,1.70183689901154
25,0.5,-2.39410745382515,1.72060467725684
25,0.5,-2.35729933915092,1.73973726638466
25,0.5,-2.32049122447669,1.75923606381864
25,0.5,-2.28368310980245,1.77910321455731
25,0.5,-2.24687499512822,1.79934131347448
25,0.5,-2.21006688045399,1.81995278200778
25,0.5,-2.17325876577975,1.84093981738405
25,0.5,-2.13645065110552,1.86230515555225
25,0.5,-2.09964253643129,1.88405151426714
25,0.5,-2.06283442175705,1.90618183067701
25,0.5,-2.02602630708282,1.92869908880518
25,0.5,-1.98921819240859,1.95160618726854
25,0.5,-1.95241007773436,1.97490636503555
25,0.5,-1.91560196306012,1.99860291184285
25,0.5,-1.87879384838589,2.02269907386338
25,0.5,-1.84198573371166,2.04719848966767
25,0.5,-1.80517761903742,2.07210415602402
25,0.5,-1.76836950436319,2.09742015724414
25,0.5,-1.73156138968896,2.12314970537521
25,0.5,-1.69475327501472,2.14929680518614
25,0.5,-1.65794516034049,2.17586490719117
25,0.5,-1.62113704566626,2.20285792122581
25,0.5,-1.58432893099202,2.23027988917801
25,0.5,-1.54752081631779,2.25813427875711
25,0.5,-1.51071270164356,2.28642526289145
25,0.5,-1.47390458696932,2.31515667934868
25,0.5,-1.43709647229509,2.34433256749285
25,0.5,-1.40028835762086,2.3739569179719
25,0.5,-1.36348024294663,2.40403368422687
25,0.5,-1.32667212827239,2.43456701053119
25,0.5,-1.28986401359816,2.46556066376444
25,0.5,-1.25305589892393,2.49701895336996
25,0.5,-1.21624778424969,2.52894547202485
25,0.5,-1.17943966957546,2.56134485998171
25,0.5,-1.14263155490123,2.59422055761116
25,0.5,-1.10582344022699,2.62757652433235
25,0.5,-1.06901532555276,2.66141724600806
25,0.5,-1.03220721087853,2.69574629986561
25,0.5,-0.995399096204294,2.73056736028135
25,0.5,-0.958590981530061,2.76588439936629
25,0.5,-0.921782866855828,2.801701081102
25,0.5,-0.884974752181595,2.83802138983035
25,0.5,-0.848166637507362,2.87484892816015
25,0.5,-0.811358522833129,2.91218696247608
25,0.5,-0.774550408158895,2.95003947549638
25,0.5,-0.737742293484662,2.98840941661937
25,0.5,-0.700934178810429,3.02730039436744
25,0.5,-0.664126064136196,3.06671560697032
25,0.5,-0.627317949461963,3.10665826373719
25,0.5,-0.59050983478773,3.14713112916025
25,0.5,-0.553701720113497,3.18813778862393
25,0.5,-0.516893605439264,3.22968046161515
25,0.5,-0.48008549076503,3.27176181694513
25,0.5,-0.443277376090797,3.31438504039301
25,0.5,-0.406469261416564,3.35755205380979
25,0.5,-0.369661146742331,3.40126537557048
25,0.5,-0.332853032068098,3.44552731880263
25,0.5,-0.296044917393865,3.49033969019851
25,0.5,-0.259236802719632,3.53570487268421
25,0.5,-0.222428688045399,3.58162378859584
25,0.5,-0.185620573371165,3.62809848713566
25,0.5,-0.148812458696932,3.67513098797418
25,0.5,-0.112004344022699,3.72272119639954
25,0.5,-0.075196229348466,3.77087178709796
25,0.5,-0.0383881146742331,3.81958251019362
25,0.5,-0.00158,3.86885488172865
100,0.5,-2.19941936717714,0.0944528500705192
100,0.5,-2.17744097350537,0.152468668361835
100,0.5,-2.1554625798336,0.211153843647383
100,0.5,-2.13348418616182,0.270441377105447
100,0.5,-2.11150579249005,0.330271562368304
100,0.5,-2.08952739881828,0.390591302797085
100,0.5,-2.06754900514651,0.451353411444795
100,0.5,-2.04557061147474,0.512516040446728
100,0.5,-2.02359221780297,0.574041686409573
100,0.5,-2.0016138241312,0.635897230787516
100,0.5,-1.97963543045942,0.698053067103304
